timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av
2021-12-24,0.02357000,0.02810000,0.02142000,0.02179000,888642323.00000000,1640390399999,21853908.64785000,63801,481014902.00000000,11911698.41799000
2021-12-25,0.02177000,0.02369000,0.02176000,0.02283000,420329298.00000000,1640476799999,9668091.02704000,33876,199772920.00000000,4598415.14350000
2021-12-26,0.02283000,0.02311000,0.02117000,0.02201000,285129750.00000000,1640563199999,6297534.03929000,21844,121107821.00000000,2681887.81467000
2021-12-27,0.02201000,0.02810000,0.02101000,0.02613000,1258326956.00000000,1640649599999,31419005.21731000,87727,635376516.00000000,15864098.40138000
2021-12-28,0.02613000,0.02614000,0.02159000,0.02190000,750721837.00000000,1640735999999,17729492.94461000,50312,320786323.00000000,7591723.37499000
2021-12-29,0.02190000,0.02308000,0.02000000,0.02116000,481307663.00000000,1640822399999,10466811.21969000,28525,242701352.00000000,5281609.85060000
2021-12-30,0.02115000,0.02225000,0.02032000,0.02161000,300374312.00000000,1640908799999,6399273.83559000,17058,136534553.00000000,2910855.51010000
2021-12-31,0.02161000,0.02451000,0.02140000,0.02344000,801333804.00000000,1640995199999,18691820.13214000,49122,390638450.00000000,9111362.01020000
2022-01-01,0.02346000,0.02402000,0.02263000,0.02333000,221121345.00000000,1641081599999,5136828.65644000,19558,112919520.00000000,2622908.09291000
2022-01-02,0.02332000,0.02600000,0.02222000,0.02403000,649363075.00000000,1641167999999,15486162.10180000,47448,290654391.00000000,6925303.41733000
2022-01-03,0.02403000,0.02536000,0.02212000,0.02215000,741500666.00000000,1641254399999,17543470.75297000,64472,406977859.00000000,9567734.59345000
2022-01-04,0.02215000,0.02314000,0.02091000,0.02099000,1038279944.00000000,1641340799999,22660026.15873000,74603,677182399.00000000,14754734.00326000
2022-01-05,0.02098000,0.02155000,0.01661000,0.01823000,1323046949.00000000,1641427199999,25941804.32743000,89796,734207024.00000000,14473324.77060000
2022-01-06,0.01827000,0.01853000,0.01596000,0.01709000,1060539814.00000000,1641513599999,18005846.63783000,64362,522874822.00000000,8869836.02385000
2022-01-07,0.01709000,0.01718000,0.01408000,0.01510000,1606913206.00000000,1641599999999,24368709.82033000,57518,771710405.00000000,11635531.57019000
2022-01-08,0.01512000,0.01635000,0.01373000,0.01470000,770785257.00000000,1641686399999,11724450.29193000,34873,262525638.00000000,3997195.15656000
2022-01-09,0.01465000,0.01576000,0.01420000,0.01500000,334537025.00000000,1641772799999,5003796.80318000,17247,170085206.00000000,2543671.66366000
2022-01-10,0.01501000,0.01555000,0.01321000,0.01396000,720930850.00000000,1641859199999,10192725.25164000,40736,304463497.00000000,4317192.65457000
2022-01-11,0.01396000,0.01490000,0.01358000,0.01455000,524450880.00000000,1641945599999,7441485.82721000,27803,246129633.00000000,3493120.44256000
2022-01-12,0.01459000,0.01636000,0.01436000,0.01575000,536982555.00000000,1642031999999,8335426.75702000,28167,246927729.00000000,3832350.79274000
2022-01-13,0.01574000,0.01589000,0.01437000,0.01446000,495917100.00000000,1642118399999,7459289.94969000,26319,250652764.00000000,3760196.63652000
