timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av
2022-03-21,0.35340000,1.38000000,0.35340000,0.85860000,366055854.60000000,1647907199999,367180355.98034000,1037762,181916784.10000000,182920751.50681000
2022-03-22,0.85850000,1.01010000,0.79100000,0.81940000,170839472.10000000,1647993599999,149884497.57435000,477489,83860399.30000000,73984053.71746000
2022-03-23,0.82020000,0.82490000,0.65670000,0.68830000,73679772.60000000,1648079999999,53101943.81271000,179537,32036658.00000000,23073468.60512000
2022-03-24,0.68830000,0.76260000,0.66940000,0.70110000,67776482.00000000,1648166399999,48640964.70747000,150803,32908602.80000000,23651913.03780000
2022-03-25,0.70110000,0.71000000,0.66170000,0.66890000,27980813.50000000,1648252799999,19229913.79077000,61047,11846610.50000000,8149731.42730000
2022-03-26,0.66900000,0.67000000,0.60910000,0.62720000,29628785.70000000,1648339199999,18693267.26472000,64988,13737713.30000000,8668457.09898000
2022-03-27,0.62710000,0.65590000,0.59110000,0.64020000,25253917.50000000,1648425599999,15596306.42579000,47746,11808275.40000000,7314461.22296000
2022-03-28,0.64010000,0.72900000,0.61070000,0.64950000,63511481.40000000,1648511999999,42906579.65519000,144048,30955637.30000000,20946557.24251000
2022-03-29,0.64950000,0.71550000,0.63300000,0.64810000,35649397.20000000,1648598399999,23776086.63172000,74976,17350471.80000000,11605177.13025000
2022-03-30,0.64690000,0.66730000,0.62800000,0.63620000,21574175.70000000,1648684799999,13835346.68744000,48787,9397538.00000000,6035780.94399000
2022-03-31,0.63660000,0.75000000,0.62880000,0.74730000,54589294.20000000,1648771199999,36753330.09594000,146113,27189477.10000000,18354166.98202000
2022-04-01,0.74610000,1.97770000,0.72750000,1.69850000,555214373.60000000,1648857599999,658120887.20468000,1708101,281563127.90000000,333961247.40582000
2022-04-02,1.69450000,2.16000000,1.40220000,1.48580000,494506222.20000000,1648943999999,865393704.92567000,1829216,242248177.90000000,425462108.60159000
2022-04-03,1.48580000,1.52890000,1.27000000,1.30360000,150563065.80000000,1649030399999,211057973.79298000,489998,71937510.80000000,100945443.64890000
2022-04-04,1.30350000,1.46000000,1.13500000,1.25300000,107591840.80000000,1649116799999,135337633.58006000,348814,51917253.00000000,65463172.42404000
2022-04-05,1.25290000,1.52490000,1.18450000,1.28280000,187249315.00000000,1649203199999,253888958.09370000,636555,95055051.80000000,129262832.12102000
2022-04-06,1.28320000,1.29960000,1.15100000,1.18030000,71692319.10000000,1649289599999,87095058.57713000,275961,34570032.70000000,42040056.30627000
2022-04-07,1.18030000,1.45100000,1.17360000,1.45090000,128426324.90000000,1649375999999,170701850.22641000,504075,65258272.30000000,86885944.51028000
