timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av
2022-04-25,0.01415000,0.01892000,0.01130000,0.01540000,5110171.00000000,1650931199999,75230.18764000,1496,2184538.00000000,32208.74631000
2022-04-26,0.01549000,0.01699000,0.01389000,0.01448000,4539980.00000000,1651017599999,68026.16993000,1553,2322729.00000000,34860.27254000
2022-04-27,0.01448000,0.01555000,0.01412000,0.01502000,1989448.00000000,1651103999999,29159.67133000,838,916085.00000000,13384.20317000
2022-04-28,0.01496000,0.01750000,0.01375000,0.01429000,3289132.00000000,1651190399999,49037.30677000,930,1698816.00000000,25599.38528000
2022-04-29,0.01409000,0.01458000,0.01338000,0.01380000,2187442.00000000,1651276799999,30448.50993000,969,879611.00000000,12190.16489000
2022-04-30,0.01377000,0.01424000,0.01250000,0.01250000,1236168.00000000,1651363199999,16806.05305000,549,507866.00000000,6905.40613000
2022-05-01,0.01255000,0.01364000,0.01147000,0.01273000,1547275.00000000,1651449599999,19431.02233000,677,804571.00000000,9949.23520000
2022-05-02,0.01273000,0.01379000,0.01235000,0.01280000,1606314.00000000,1651535999999,20749.29457000,677,645463.00000000,8217.82983000
2022-05-03,0.01275000,0.01310000,0.01245000,0.01254000,903507.00000000,1651622399999,11497.13626000,339,417096.00000000,5258.14329000
2022-05-04,0.01249000,0.01297000,0.01185000,0.01219000,772228.00000000,1651708799999,9623.93894000,306,308349.00000000,3803.95569000
2022-05-05,0.01238000,0.01299000,0.01183000,0.01264000,1306994.00000000,1651795199999,16329.05325000,570,608152.00000000,7544.71917000
2022-05-06,0.01266000,0.01512000,0.01000000,0.01271000,2703733.00000000,1651881599999,36036.80775000,1088,1506501.00000000,19829.60071000
2022-05-07,0.01283000,0.01347000,0.01150000,0.01211000,1297474.00000000,1651967999999,16276.67247000,554,623164.00000000,7741.10252000
2022-05-08,0.01210000,0.01309000,0.01058000,0.01125000,1164026.00000000,1652054399999,13450.78915000,482,461615.00000000,5218.48414000
2022-05-09,0.01133000,0.01262000,0.01030000,0.01030000,1687672.00000000,1652140799999,19077.30709000,730,639599.00000000,7135.91834000
2022-05-10,0.01031000,0.01190000,0.00881000,0.00993000,2355025.00000000,1652227199999,24097.13417000,907,869999.00000000,8710.92604000
2022-05-11,0.00989000,0.01086000,0.00710000,0.00786000,1610720.00000000,1652313599999,14127.02077000,463,753390.00000000,6649.84380000
2022-05-12,0.00786000,0.01650000,0.00658000,0.00771000,3077169.00000000,1652399999999,26482.27171000,1163,1435182.00000000,11894.84988000
2022-05-13,0.00771000,0.01200000,0.00698000,0.01126000,4060145.00000000,1652486399999,37781.70204000,2245,2626046.00000000,25186.56036000
2022-05-14,0.01126000,0.01200000,0.00981000,0.01049000,4350953.00000000,1652572799999,48643.91069000,2643,3343058.00000000,37613.77702000
2022-05-15,0.01049000,0.01190000,0.00985000,0.01112000,718483.00000000,1652659199999,7773.21409000,204,209900.00000000,2196.37120000
2022-05-16,0.01112000,0.01464000,0.00900000,0.01332000,3784773.00000000,1652745599999,45955.54447000,2353,2805561.00000000,33891.49616000
2022-05-17,0.01293000,0.01464000,0.00915000,0.01227000,1785700.00000000,1652831999999,22727.20487000,498,940616.00000000,11537.34952000
2022-05-18,0.01221000,0.01299000,0.01140000,0.01175000,715131.00000000,1652918399999,8616.25598000,206,357588.00000000,4285.26088000
2022-05-19,0.01173000,0.01490000,0.00501000,0.01308000,3806523.00000000,1653004799999,48712.48626000,2204,2678792.00000000,34646.16787000
2022-05-20,0.01308000,0.01449000,0.01217000,0.01305000,1778909.00000000,1653091199999,23432.01222000,831,1027739.00000000,13497.50686000
2022-05-21,0.01305000,0.01390000,0.01281000,0.01324000,1016227.00000000,1653177599999,13498.16161000,560,707248.00000000,9376.38998000
2022-05-22,0.01319000,0.01369000,0.01300000,0.01309000,317021.00000000,1653263999999,4213.46290000,99,90050.00000000,1199.49703000
2022-05-23,0.01310000,0.01389000,0.01252000,0.01304000,880324.00000000,1653350399999,11512.49387000,304,406941.00000000,5266.47304000
2022-05-24,0.01300000,0.01349000,0.01251000,0.01267000,441896.00000000,1653436799999,5707.86517000,151,149273.00000000,1910.73546000
2022-05-25,0.01267000,0.01307000,0.01233000,0.01247000,378332.00000000,1653523199999,4779.43176000,136,203208.00000000,2543.07239000
2022-05-26,0.01261000,0.01300000,0.01102000,0.01204000,1377119.00000000,1653609599999,16818.38404000,416,818366.00000000,9902.13654000
2022-05-27,0.01204000,0.02000000,0.01199000,0.01353000,2803587.00000000,1653695999999,40779.49278000,927,1179952.00000000,17278.21699000
2022-05-28,0.01349000,0.01428000,0.01301000,0.01323000,611052.00000000,1653782399999,8204.39723000,177,249928.00000000,3361.89066000
2022-05-29,0.01332000,0.01578000,0.01305000,0.01383000,241600.00000000,1653868799999,3273.06011000,98,96814.00000000,1311.89167000
2022-05-30,0.01383000,0.01577000,0.01321000,0.01370000,533835.00000000,1653955199999,7269.83577000,178,228379.00000000,3094.71003000
2022-05-31,0.01361000,0.01639000,0.01326000,0.01345000,1425203.00000000,1654041599999,20021.57253000,419,692626.00000000,9621.21516000
2022-06-01,0.01368000,0.01426000,0.01306000,0.01340000,433864.00000000,1654127999999,5880.55913000,162,187581.00000000,2526.65215000
2022-06-02,0.01338000,0.01400000,0.01315000,0.01355000,315393.00000000,1654214399999,4265.68369000,116,208355.00000000,2808.78617000
2022-06-03,0.01342000,0.01394000,0.01301000,0.01344000,252923.00000000,1654300799999,3396.87223000,88,110312.00000000,1477.89566000
2022-06-04,0.01353000,0.01380000,0.01317000,0.01342000,175149.00000000,1654387199999,2353.55125000,74,68270.00000000,911.30943000
2022-06-05,0.01342000,0.01360000,0.01304000,0.01316000,115605.00000000,1654473599999,1540.49404000,52,31212.00000000,418.69541000
2022-06-06,0.01336000,0.01354000,0.01303000,0.01345000,176170.00000000,1654559999999,2329.47394000,56,74502.00000000,990.79290000
2022-06-07,0.01324000,0.01341000,0.01291000,0.01303000,108431.00000000,1654646399999,1425.63233000,50,39493.00000000,517.33569000
2022-06-08,0.01321000,0.01350000,0.01302000,0.01304000,162964.00000000,1654732799999,2158.69202000,55,97887.00000000,1302.01440000
2022-06-09,0.01307000,0.01334000,0.01256000,0.01279000,530475.00000000,1654819199999,6833.49773000,216,361666.00000000,4631.33612000
2022-06-10,0.01279000,0.01332000,0.01226000,0.01226000,506845.00000000,1654905599999,6497.27468000,157,188436.00000000,2405.60922000
2022-06-11,0.01238000,0.01310000,0.01206000,0.01263000,751993.00000000,1654991999999,9466.08681000,259,340613.00000000,4239.31959000
2022-06-12,0.01246000,0.01314000,0.01192000,0.01246000,378373.00000000,1655078399999,4674.72026000,164,161738.00000000,1985.76066000
2022-06-13,0.01226000,0.01328000,0.01015000,0.01138000,1871784.00000000,1655164799999,21029.20210000,459,949478.00000000,10470.99565000
2022-06-14,0.01096000,0.01273000,0.00963000,0.00991000,1126347.00000000,1655251199999,11788.19658000,348,527840.00000000,5418.50237000
2022-06-15,0.00998000,0.01099000,0.00747000,0.00983000,1190203.00000000,1655337599999,11522.10454000,356,595577.00000000,5660.68892000
2022-06-16,0.00990000,0.01198000,0.00951000,0.00993000,1144886.00000000,1655423999999,11451.84728000,381,542814.00000000,5351.01813000
2022-06-17,0.00986000,0.01018000,0.00887000,0.00966000,1175010.00000000,1655510399999,11183.30191000,352,579452.00000000,5446.63796000
