,id,symbol
251,252,RIFUSDT
252,253,BTCSTUSDT
253,254,TRUUSDT
254,255,CKBUSDT
255,256,TWTUSDT
256,257,FIROUSDT
257,258,LITUSDT
258,259,SFPUSDT
259,260,DODOUSDT
260,261,CAKEUSDT
261,262,ACMUSDT
262,263,BADGERUSDT
263,264,FISUSDT
264,265,OMUSDT
265,266,PONDUSDT
266,267,DEGOUSDT
267,268,ALICEUSDT
268,269,LINAUSDT
269,270,PERPUSDT
270,271,RAMPUSDT
271,272,SUPERUSDT
272,273,CFXUSDT
273,274,EPSUSDT
274,275,AUTOUSDT
275,276,TKOUSDT
276,277,PUNDIXUSDT
277,278,TLMUSDT
278,279,1INCHUPUSDT
279,280,1INCHDOWNUSDT
280,281,BTGUSDT
281,282,MIRUSDT
282,283,BARUSDT
283,284,FORTHUSDT
284,285,BAKEUSDT
285,286,BURGERUSDT
286,287,SLPUSDT
287,288,SHIBUSDT
288,289,ICPUSDT
289,290,ARUSDT
290,291,POLSUSDT
291,292,MDXUSDT
292,293,MASKUSDT
293,294,LPTUSDT
294,295,NUUSDT
295,296,XVGUSDT
296,297,ATAUSDT
297,298,GTCUSDT
298,299,TORNUSDT
299,300,KEEPUSDT
300,301,ERNUSDT
301,302,KLAYUSDT
302,303,PHAUSDT
303,304,BONDUSDT
304,305,MLNUSDT
305,306,DEXEUSDT
306,307,C98USDT
307,308,CLVUSDT
308,309,QNTUSDT
309,310,FLOWUSDT
310,311,TVKUSDT
311,312,MINAUSDT
312,313,RAYUSDT
313,314,FARMUSDT
314,315,ALPACAUSDT
315,316,QUICKUSDT
316,317,MBOXUSDT
317,318,FORUSDT
318,319,REQUSDT
319,320,GHSTUSDT
320,321,WAXPUSDT
321,322,TRIBEUSDT
322,323,GNOUSDT
323,324,XECUSDT
324,325,ELFUSDT
325,326,DYDXUSDT
326,327,POLYUSDT
327,328,IDEXUSDT
328,329,VIDTUSDT
329,330,USDPUSDT
330,331,GALAUSDT
331,332,ILVUSDT
332,333,YGGUSDT
333,334,SYSUSDT
334,335,DFUSDT
335,336,FIDAUSDT
336,337,FRONTUSDT
337,338,CVPUSDT
338,339,AGLDUSDT
339,340,RADUSDT
340,341,BETAUSDT
341,342,RAREUSDT
342,343,LAZIOUSDT
343,344,CHESSUSDT
344,345,ADXUSDT
345,346,AUCTIONUSDT
346,347,DARUSDT
347,348,BNXUSDT
348,349,RGTUSDT
349,350,MOVRUSDT
350,351,CITYUSDT
351,352,ENSUSDT
352,353,KP3RUSDT
353,354,QIUSDT
