,symbol,average_num_of_trades
173,RSRUSDT,60291.46746987952
174,PAXGUSDT,9098.027744270204
175,WNXMUSDT,11980.969843184559
176,TRBUSDT,28376.176328502417
177,BZRXUSDT,42364.45283018868
178,SUSHIUSDT,109460.55878787879
179,YFIIUSDT,41789.984242424245
180,KSMUSDT,73602.29197080292
181,EGLDUSDT,96632.10328068044
182,DIAUSDT,21117.548661800487
183,RUNEUSDT,91235.95377128954
184,FIOUSDT,18415.300486618005
185,UMAUSDT,27434.51652386781
186,EOSUPUSDT,12483.346808510638
187,EOSDOWNUSDT,8752.340425531915
188,TRXUPUSDT,6050.632552404439
189,TRXDOWNUSDT,7588.745992601726
190,XRPUPUSDT,22375.84417177914
191,XRPDOWNUSDT,21856.99263803681
192,DOTUPUSDT,17182.381481481483
193,DOTDOWNUSDT,15759.522222222222
194,BELUSDT,33859.977805178794
195,WINGUSDT,22980.03086419753
196,LTCUPUSDT,10685.725450901804
197,LTCDOWNUSDT,5573.5250501002
198,UNIUSDT,130164.46600741656
199,NBSUSDT,18611.21989528796
200,OXTUSDT,21808.45341614907
201,SUNUSDT,32616.31047381546
202,AVAXUSDT,255072.25373134328
203,HNTUSDT,41829.729693741676
204,FLMUSDT,32087.595238095237
205,UNIUPUSDT,11561.64
206,UNIDOWNUSDT,9520.977777777778
207,ORNUSDT,19357.704773869347
208,UTKUSDT,21210.816120906802
209,XVSUSDT,59083.12151898734
210,ALPHAUSDT,48336.98600508906
211,AAVEUSDT,120940.47887323944
212,NEARUSDT,146691.34910485934
213,SXPUPUSDT,22006.99262899263
214,SXPDOWNUSDT,13329.904176904178
215,FILUSDT,194597.60179257364
216,FILUPUSDT,10400.961538461539
217,FILDOWNUSDT,16141.859728506788
218,YFIUPUSDT,11645.240196078432
219,YFIDOWNUSDT,11612.495098039215
220,INJUSDT,31974.032258064515
221,AUDIOUSDT,50815.654592496765
222,CTKUSDT,35415.217165149545
223,BCHUPUSDT,4830.1684587813625
224,BCHDOWNUSDT,9318.41935483871
225,AKROUSDT,34018.33289646134
226,AXSUSDT,153416.34165571615
227,HARDUSDT,27153.85902503294
228,DNTUSDT,21244.13025210084
229,STRAXUSDT,15775.290495314592
230,UNFIUSDT,56650.69705093834
231,ROSEUSDT,101404.19839142091
232,AVAUSDT,15070.879892037787
233,XEMUSDT,45498.82456140351
