,symbol,average_volume
172,LUNAUSDT,160189739.26385897
173,RSRUSDT,16113807.077608148
174,PAXGUSDT,4745118.1840561945
175,WNXMUSDT,2432540.803804323
176,TRBUSDT,7932568.460217054
177,BZRXUSDT,9544385.368413365
178,SUSHIUSDT,47696288.8187569
179,YFIIUSDT,13194538.02191077
180,KSMUSDT,23768459.564633075
181,EGLDUSDT,38388858.00363756
182,DIAUSDT,5006676.859208601
183,RUNEUSDT,38332680.83928661
184,FIOUSDT,4030134.8838674296
185,UMAUSDT,6651151.848119161
186,EOSUPUSDT,6887971.716001906
187,EOSDOWNUSDT,2127226.7220854308
188,TRXUPUSDT,1986099.5718028317
189,TRXDOWNUSDT,1403376.4402250233
190,XRPUPUSDT,11522895.624155194
191,XRPDOWNUSDT,7095220.132689955
192,DOTUPUSDT,6348005.093793402
193,DOTDOWNUSDT,3404629.463826533
194,BELUSDT,8475399.478782235
195,WINGUSDT,5306760.778037391
196,LTCUPUSDT,6193556.964734739
197,LTCDOWNUSDT,1204351.0236680708
198,UNIUSDT,61696758.08920624
199,NBSUSDT,3329827.881754271
200,OXTUSDT,5682002.819113554
201,SUNUSDT,15532872.146302944
202,AVAXUSDT,133498197.49715166
203,HNTUSDT,11217447.250806741
204,FLMUSDT,8600589.64133715
205,UNIUPUSDT,4017631.5593710444
206,UNIDOWNUSDT,2353145.947454683
207,ORNUSDT,4566526.986001035
208,UTKUSDT,5288104.1738068275
209,XVSUSDT,18521657.562340185
210,ALPHAUSDT,16863041.443512037
211,AAVEUSDT,48044299.26548171
212,NEARUSDT,74325712.22260623
213,SXPUPUSDT,6668903.796399398
214,SXPDOWNUSDT,3375807.1334868907
215,FILUSDT,122378554.87476447
216,FILUPUSDT,3441937.512116231
217,FILDOWNUSDT,9411164.505895156
218,YFIUPUSDT,4147054.9713815753
219,YFIDOWNUSDT,3117348.2339715883
220,INJUSDT,8954166.11296867
221,AUDIOUSDT,15815041.21685013
222,CTKUSDT,6758622.558429852
223,BCHUPUSDT,2397174.6434391504
224,BCHDOWNUSDT,2737744.3079597563
225,AKROUSDT,6024246.99834806
226,AXSUSDT,85339473.09964171
227,HARDUSDT,7927591.807633282
228,DNTUSDT,4811176.315736583
229,STRAXUSDT,3597479.3973023933
230,UNFIUSDT,15423545.671907328
231,ROSEUSDT,30577174.02150128
232,AVAUSDT,2963496.1269276543
233,XEMUSDT,16921425.55235063
234,AAVEUPUSDT,5137486.225078496
235,AAVEDOWNUSDT,3459187.233023568
236,SKLUSDT,11917189.240413329
237,SUSDUSDT,369779.67166130367
238,SUSHIUPUSDT,7171855.858730474
239,SUSHIDOWNUSDT,3572143.084733261
240,XLMUPUSDT,4907947.843738469
241,XLMDOWNUSDT,1051421.3841857403
242,GRTUSDT,47514984.20526002
